145,"AEMN",180,"GA","Spalding","Griffin-Dempsey",33.25,-84.3,276.15
147,"AEMN",299,"GA","Crisp","Hatley",31.92,-83.63,134.11
149,"AEMN",157,"GA","Clinch","Homerville",31.02,-82.66,46.94
151,"AEMN",332,"GA","Taylor","Howard",32.58,-84.32,205.44
153,"AEMN",136,"GA","Twiggs","Jeffersonville",32.68,-83.36,160.02
155,"AEMN",270,"GA","Fulton","Johns Creek",34,-84.19,282
157,"AEMN",380,"GA","Clayton","Jonesboro",33.52,-84.31,247.8
159,"AEMN",360,"GA","Walker","LaFayette",34.76,-85.38,268.53
161,"AEMN",435,"FL","Jackson","Lake Seminole-FL",30.73,-84.9,22.86
163,"AEMN",294,"GA","Telfair","McRae",32.08,-82.9,55.47
165,"AEMN",130,"GA","Burke","Midville",32.88,-82.22,78.94
167,"AEMN",148,"GA","Colquitt","Moultrie",31.15,-83.72,90.53
169,"AEMN",421,"GA","Brantley","Nahunta",31.18,-82.01,20.12
171,"AEMN",185,"GA","Baker","Newton",31.22,-84.48,45.42
173,"AEMN",282,"GA","Hall","Oakwood",34.24,-83.87,282
175,"AEMN",248,"GA","Wayne","Odum",31.63,-82.05,43.89
177,"AEMN",244,"GA","Chatham","Ossabaw",31.84,-81.09,0
179,"AEMN",330,"GA","Harris","Pine Mountain",32.84,-84.84,259.08
181,"AEMN",140,"GA","Sumter","Plains",32.05,-84.37,157.89
183,"AEMN",200,"GA","Floyd","Rome",34.34,-85.12,187.45
185,"AEMN",320,"GA","Carroll","Roopville",33.42,-85.06,266.4
189,"AEMN",349,"GA","Terrell","Sasser",31.71,-84.37,91.14
191,"AEMN",240,"GA","Chatham","Savannah",32,-81.27,4.88
193,"AEMN",347,"GA","Randolph","Shellman",31.74,-84.61,117.04
195,"AEMN",242,"GA","Chatham","Skidaway",31.95,-81.04,0
197,"AEMN",285,"GA","Hancock","Sparta",33.28,-82.97,163.37
199,"AEMN",300,"GA","Bulloch","Statesboro",32.49,-81.81,75.59
201,"AEMN",385,"GA","Washington","Tennille",32.93,-82.8,142.95
203,"AEMN",123,"GA","Tift","Tifton",31.49,-83.53,118.26
205,"AEMN",120,"GA","Tift","Tifton-Bowen",31.48,-83.44,109.12
207,"AEMN",153,"GA","Rabun","Tiger",34.85,-83.43,608.99
209,"AEMN",302,"GA","Tift","TyTy",31.51,-83.65,111.86
211,"AEMN",253,"GA","Dooly","Unadilla",32.26,-83.66,127.41
213,"AEMN",155,"GA","Lowndes","Valdosta",30.82,-83.32,61.87
215,"AEMN",305,"GA","Toombs","Vidalia",32.14,-82.35,132.89
217,"AEMN",297,"GA","Dooly","Vienna",32.11,-83.68,74.98
219,"AEMN",225,"GA","Oconee","Watkinsville-Hort",33.89,-83.42,236.52
221,"AEMN",220,"GA","Oconee","Watkinsville-UGA",33.87,-83.54,254.2
223,"AEMN",230,"GA","Oconee","Watkinsville-USDA",33.87,-83.45,238.96
225,"AEMN",210,"GA","Pike","Williamson",33.18,-84.41,264.87
227,"AEMN",422,"GA","Camden","Woodbine",30.96,-81.77,3.96
229,"ECONET",1,"NC","Beaufort","Aurora",35.36,-76.72,1.22
231,"ECONET",3,"NC","Watauga ","Boone",36.22,-81.63,991.82
233,"ECONET",5,"NC","Gates ","Buckland",36.47,-76.76,7.62
235,"ECONET",7,"NC","Yancey ","Burnsville",35.92,-82.28,823.57
237,"ECONET",9,"NC","New Hanover ","Castle Hayne",34.32,-77.92,13.11
239,"ECONET",11,"NC","Johnston ","Clayton",35.67,-78.49,106.68
241,"ECONET",13,"NC","Johnston ","Clayton",35.59,-78.46,76.2
243,"ECONET",15,"NC","Sampson ","Clinton",35.02,-78.28,50.6
245,"ECONET",17,"NC","Durham ","Durham",36.03,-78.86,101.19
247,"ECONET",19,"NC","Henderson ","Fletcher",35.43,-82.56,630.02
249,"ECONET",21,"NC","Macon ","Franklin",35.17,-83.58,1666.95
